id_1,cannon_teff_1,cannon_logg_1,cannon_m_h_1,cannon_alpha_m_1,cannon_teff_err_1,cannon_logg_err_1,cannon_m_h_err_1,cannon_alpha_m_err_1,cannon_red_chisq_1,ra_1,dec_1,snrg_1,codeindex_1,id_2,cannon_teff_2,cannon_logg_2,cannon_m_h_2,cannon_alpha_m_2,cannon_teff_err_2,cannon_logg_err_2,cannon_m_h_err_2,cannon_alpha_m_err_2,cannon_red_chisq_2,ra_2,dec_2,snrg_2,codeindex_2,Separation_1,obsid,designation,obsdate,lmjd,mjd,planid,spid,fiberid,ra_obs,dec_obs,snru,snrg,snrr,snri,snrz,objtype,class,subclass,z,z_err,magtype,mag1,mag2,mag3,mag4,mag5,mag6,mag7,tsource,fibertype,tfrom,tcomment,offsets,offset_v,ra,dec,Separation,id,Ba_only_candidate,Sr_only_candidate,Ba_Sr_candidate,BA_FE_4554,BA_FE_4554_err,BA_FE_4934,BA_FE_4934_err,SR_FE_4077,SR_FE_4077_err,SR_FE_4215,SR_FE_4215_err
spec-55863-GAC_060N28_B1_sp14-084.fits,4801.61932374,2.44128952517,-0.310918098834,0.0902503237562,19.3173471711,0.0511934182621,0.0247845323712,0.0124613882933,1.267389345179071,58.90411,29.426514,44.58,2078,spec-55863-GAC_060N28_B1_sp14-084.fits,4801.61932374,2.44128952517,-0.310918098834,0.0902503237562,19.3173471711,0.0511934182621,0.0247845323712,0.0124613882933,1.267389345179071,58.90411,29.426514,44.58,2078,0.0,1414084,J035536.98+292535.4,2011-10-28,55863,55862,GAC_060N28_B1,14,84,58.90411,29.426514,2.73,44.58,72.96,127.01,110.9,Star,STAR,G5,-5.1E-5,5.1E-5,ugrizjh,99.0,14.89,13.75,13.25,99.0,99.0,99.0,PILOT,Obj,-,xuyi_r,0,0.0,58.90411,29.426514,0.0,spec-55863-GAC_060N28_B1_sp14-084.fits,false,false,true,0.8855015192685411,0.13509347498077331,0.08162706503041343,0.8363504468594852,0.8957249749270745,0.11474978901784631,0.77738261413548,0.12139744947713302
spec-55875-GAC_101N28_B1_sp08-138.fits,5010.75660352,3.14573922524,-0.320201998553,0.11936121194,22.2280835593,0.0445764159099,0.0246251465571,0.0137011537234,0.9347313952592182,102.52332,28.211441,50.23,4460,spec-55875-GAC_101N28_B1_sp08-138.fits,5010.75660352,3.14573922524,-0.320201998553,0.11936121194,22.2280835593,0.0445764159099,0.0246251465571,0.0137011537234,0.9347313952592182,102.52332,28.211441,50.23,4460,0.0,2608138,J065005.59+281241.1,2011-11-09,55875,55874,GAC_101N28_B1,8,138,102.52332,28.211441,5.76,50.23,104.04,142.56,114.8,Star,STAR,G7,1.23E-4,5.6E-5,ugrizjh,99.0,14.21,13.48,13.18,99.0,99.0,99.0,PILOT,Obj,-,xuyi_r,0,0.0,102.52332,28.211441,0.0,spec-55875-GAC_101N28_B1_sp08-138.fits,false,false,true,0.8498055004300866,0.11425063772841497,0.8085264711217922,0.1463534524181368,0.7991978851550884,0.07639464630065196,0.8100151689249181,0.09735930600038267
spec-55880-B8001_1_sp11-224.fits,4595.92650156,2.27884602574,-0.431017850084,0.277340739933,24.7652530854,0.0635052837815,0.0326699407622,0.0132736315036,0.43779083247359646,346.3350029,30.500685,31.18,6901,spec-55880-B8001_1_sp11-224.fits,4595.92650156,2.27884602574,-0.431017850084,0.277340739933,24.7652530854,0.0635052837815,0.0326699407622,0.0132736315036,0.43779083247359646,346.3350029,30.500685,31.18,6901,0.0,4711224,J230520.40+303002.4,2011-11-14,55880,55879,B8001_1,11,224,346.3350029,30.500685,2.78,31.18,54.98,84.38,68.96,Star,STAR,G5,-4.14E-4,4.1E-5,ugrizjh,99.0,99.0,12.15,99.0,99.0,10.7,10.11,PILOT,Obj,-,14_346.3340680000_30.5006850000,0,0.0,346.3350029,30.500685,0.0,spec-55880-B8001_1_sp11-224.fits,false,false,true,0.8861114606483411,0.18989501979699425,0.20430407947599874,1.2286079360878943,0.9167747393199517,0.14507764698612177,-0.06561647664728504,0.0
spec-55938-GAC_070N40_V2_sp04-146.fits,4616.7297453,2.34740082483,-0.257783726736,0.0168332442697,14.2084756044,0.0378494264908,0.0196651485169,0.00809985375948,1.3993727881725022,69.911767,40.341862,42.67,25865,spec-55938-GAC_070N40_V2_sp04-146.fits,4616.7297453,2.34740082483,-0.257783726736,0.0168332442697,14.2084756044,0.0378494264908,0.0196651485169,0.00809985375948,1.3993727881725022,69.911767,40.341862,42.67,25865,0.0,28004146,J043938.82+402030.7,2012-01-11,55938,55937,GAC_070N40_V2,4,146,69.911767,40.341862,1.57,42.67,234.96,339.5,316.78,Star,STAR,G5,-2.5E-5,4.1E-5,ugrijhk,99.0,99.0,99.0,99.0,9.03,8.31,8.12,PILOT,Obj,-,XY0440+4047_V2,0,0.0,69.911767,40.341862,0.0,spec-55938-GAC_070N40_V2_sp04-146.fits,false,false,true,0.9947328670733185,0.12750932899270026,-0.1067954552486349,0.0,0.8868914935994008,0.13326383581154147,-0.06735409245278626,0.0
spec-55938-GAC_070N40_V2_sp14-130.fits,5095.41408298,3.38229778508,-0.324639570033,0.0379384163245,35.5174646551,0.0569957115101,0.0393097525192,0.0129318848019,0.271577551033389,67.606371,41.621979,32.18,26157,spec-55938-GAC_070N40_V2_sp14-130.fits,5095.41408298,3.38229778508,-0.324639570033,0.0379384163245,35.5174646551,0.0569957115101,0.0393097525192,0.0129318848019,0.271577551033389,67.606371,41.621979,32.18,26157,0.0,28014130,J043025.52+413719.1,2012-01-11,55938,55937,GAC_070N40_V2,14,130,67.606371,41.621979,4.0,32.18,58.22,107.95,102.16,Star,STAR,G5,1.16E-4,5.5E-5,ugrijhk,99.0,99.0,99.0,99.0,10.57,10.02,9.91,PILOT,Obj,-,XY0440+4047_V2,0,0.0,67.606371,41.621979,0.0,spec-55938-GAC_070N40_V2_sp14-130.fits,false,false,true,1.0161907126139542,0.03561921647140744,0.3308640287870043,0.497506961742828,0.8774475258813902,0.11935217351694562,0.26792299940967723,2.960098649801523
spec-55939-B5593903_sp03-060.fits,4983.96331918,3.09750732322,-0.378936771219,0.0918813123456,15.6974380593,0.0304286738948,0.0179811076838,0.00888659582975,1.2850140410703363,136.198402,31.171125,89.88,27218,spec-55939-B5593903_sp03-060.fits,4983.96331918,3.09750732322,-0.378936771219,0.0918813123456,15.6974380593,0.0304286738948,0.0179811076838,0.00888659582975,1.2850140410703363,136.198402,31.171125,89.88,27218,0.0,28303060,J090447.61+311016.0,2012-01-12,55939,55938,B5593903,3,60,136.198402,31.171125,18.24,89.88,148.83,157.91,137.07,Star,STAR,G5,-2.1E-5,5.6E-5,ugrizjh,99.0,99.0,11.95,99.0,99.0,10.83,10.41,PILOT,Obj,-,-,0,0.0,136.198402,31.171125,0.0,spec-55939-B5593903_sp03-060.fits,true,false,false,0.9614519848680492,0.06978821953505622,0.83597207669433,0.10230432364357368,0.8398800320520116,0.03875931899896578,0.508562176399267,0.30216808030938186
spec-55939-GAC_104N11_V2_sp05-221.fits,4732.47904147,2.34864095206,-0.1618771341,0.00661006406856,16.1017765234,0.0444380783724,0.0214070918065,0.00863661219198,0.7166084008316997,103.63588,10.567213,47.19,29983,spec-55939-GAC_104N11_V2_sp05-221.fits,4732.47904147,2.34864095206,-0.1618771341,0.00661006406856,16.1017765234,0.0444380783724,0.0214070918065,0.00863661219198,0.7166084008316997,103.63588,10.567213,47.19,29983,0.0,29005221,J065432.61+103401.9,2012-01-12,55939,55938,GAC_104N11_V2,5,221,103.63588,10.567213,2.75,47.19,78.8,113.74,99.17,Star,STAR,G5,2.16E-4,4.3E-5,ugrijhk,99.0,12.71,11.88,0.0,10.3,9.74,9.6,PILOT,Obj,-,XY0657+1154_V2,0,0.0,103.63588,10.567213,0.0,spec-55939-GAC_104N11_V2_sp05-221.fits,false,false,true,0.8114556926747157,0.1146489292124316,-0.15047159868906756,0.0,0.9152382276253422,0.09968376855794533,0.35065887116834293,2.9739042677632184
spec-55939-GAC_104N11_V3_sp14-018.fits,4820.31671678,2.73454308027,-0.358525172942,0.0205803680625,26.5535193631,0.0590083600853,0.0325182009314,0.0116152135032,0.39742622193963106,102.19788,12.91023,42.01,31114,spec-55939-GAC_104N11_V3_sp14-018.fits,4820.31671678,2.73454308027,-0.358525172942,0.0205803680625,26.5535193631,0.0590083600853,0.0325182009314,0.0116152135032,0.39742622193963106,102.19788,12.91023,42.01,31114,0.0,29114018,J064847.49+125436.8,2012-01-12,55939,55938,GAC_104N11_V3,14,18,102.19788,12.91023,4.25,42.01,58.3,62.05,56.16,Star,STAR,G5,1.97E-4,5.1E-5,ugrijhk,99.0,99.0,99.0,99.0,10.64,10.02,9.89,PILOT,Obj,-,XY0657+1154_V3,0,0.0,102.19788,12.91023,0.0,spec-55939-GAC_104N11_V3_sp14-018.fits,false,false,true,0.8253686317539277,0.14025353110429198,-0.24472557493713099,0.0,0.9807533364587387,0.09347090839344765,-0.04998357554080968,0.0
spec-55940-GAC_071N52_V2_sp11-107.fits,5259.52880857,3.31692704695,-0.442772934101,0.103644532863,29.052469598,0.0535648324142,0.033793409498,0.0156702739969,0.37547565059345533,72.314419,54.418839,43.47,33207,spec-55940-GAC_071N52_V2_sp11-107.fits,5259.52880857,3.31692704695,-0.442772934101,0.103644532863,29.052469598,0.0535648324142,0.033793409498,0.0156702739969,0.37547565059345533,72.314419,54.418839,43.47,33207,0.0,29711107,J044915.46+542507.8,2012-01-13,55940,55939,GAC_071N52_V2,11,107,72.314419,54.418839,7.61,43.47,71.52,97.92,76.54,Star,STAR,G7,-8.6E-5,5.6E-5,ugrijhk,99.0,99.0,99.0,99.0,10.06,9.71,9.62,PILOT,Obj,-,XY0444+5220_V2,0,0.0,72.314419,54.418839,0.0,spec-55940-GAC_071N52_V2_sp11-107.fits,false,false,true,1.001644754969947,0.029987214971671883,0.8303562401046014,0.22599970653761894,0.8995066122604657,0.08338251494170573,0.8050121985422148,0.10913405571726827
spec-55954-GAC_089N11_V1_sp10-163.fits,4515.42978393,2.08113016368,0.0254144692817,-0.0104131381637,13.0911428841,0.0375637345438,0.0189504869459,0.0076676454142,0.3431250210014556,87.961649,10.711856,44.57,40470,spec-55954-GAC_089N11_V1_sp10-163.fits,4515.42978393,2.08113016368,0.0254144692817,-0.0104131381637,13.0911428841,0.0375637345438,0.0189504869459,0.0076676454142,0.3431250210014556,87.961649,10.711856,44.57,40470,0.0,34410163,J055150.79+104242.6,2012-01-27,55954,55953,GAC_089N11_V1,10,163,87.961649,10.711856,0.0,44.57,59.09,96.47,124.68,Star,STAR,G5,1.41E-4,3.1E-5,ugrijhk,99.0,14.42,12.73,11.98,10.01,9.19,8.93,PILOT,Obj,-,XY0556+1131_V1,0,0.0,87.961649,10.711856,0.0,spec-55954-GAC_089N11_V1_sp10-163.fits,false,false,true,0.7618282278854723,0.10586165838617119,0.09934132393009436,1.6122347784263815,0.8334785753505568,0.14750700924825297,0.8393090717513153,0.12558184574881784
spec-55959-B5595902_sp10-240.fits,5002.64361827,3.04834637487,-0.560285047342,0.132159138074,31.0253374817,0.0568064901626,0.0359696115859,0.0191776301171,0.4532374007931226,137.4951686,27.4232205,50.91,42568,spec-55959-B5595902_sp10-240.fits,5002.64361827,3.04834637487,-0.560285047342,0.132159138074,31.0253374817,0.0568064901626,0.0359696115859,0.0191776301171,0.4532374007931226,137.4951686,27.4232205,50.91,42568,0.0,35810240,J090958.84+272523.5,2012-02-01,55959,55958,B5595902,10,240,137.4951686,27.4232205,9.3,50.91,52.88,67.23,47.12,Star,STAR,G7,-1.83E-4,5.7E-5,ugrizjh,99.0,99.0,11.74,99.0,99.0,10.6,10.19,PILOT,Obj,-,<off_11.74>,1,4.66,137.496432,27.422573,0.0,spec-55959-B5595902_sp10-240.fits,false,false,true,1.015993943960657,0.024647030217642425,0.9266273738965564,0.1934568654975861,0.8643992780297013,0.07369003710249243,-0.06146571397107092,0.0
spec-55959-GAC_094N27_V1_sp13-225.fits,4727.63780835,2.34112981198,-0.14573026668,0.0602622683323,12.7177473521,0.0351539717406,0.0170590660265,0.00854090652617,1.1280614980585775,96.399246,27.510973,56.27,43930,spec-55959-GAC_094N27_V1_sp13-225.fits,4727.63780835,2.34112981198,-0.14573026668,0.0602622683323,12.7177473521,0.0351539717406,0.0170590660265,0.00854090652617,1.1280614980585775,96.399246,27.510973,56.27,43930,0.0,36213225,J062535.81+273039.5,2012-02-01,55959,55958,GAC_094N27_V1,13,225,96.399246,27.510973,3.8,56.27,151.76,194.48,151.38,Star,STAR,G5,-6.0E-5,5.1E-5,ugrijhk,99.0,99.0,99.0,99.0,9.12,8.56,8.44,PILOT,Obj,-,XY0618+2712_V1,0,0.0,96.399246,27.510973,0.0,spec-55959-GAC_094N27_V1_sp13-225.fits,false,false,true,0.9375198594260837,0.09419925588313871,-0.05196427647696972,0.0,0.8259123738865541,0.07331305797927298,0.7569122500516119,0.08637523088085738
spec-55959-GAC_094N27_V2_sp16-039.fits,4851.50811807,2.72663546247,-0.419196270703,0.103041211901,19.2570745704,0.042976521461,0.0236030731543,0.0124842556582,0.34629225445251394,93.016887,29.20126,65.24,44592,spec-55959-GAC_094N27_V2_sp16-039.fits,4851.50811807,2.72663546247,-0.419196270703,0.103041211901,19.2570745704,0.042976521461,0.0236030731543,0.0124842556582,0.34629225445251394,93.016887,29.20126,65.24,44592,0.0,36316039,J061204.05+291204.5,2012-02-01,55959,55958,GAC_094N27_V2,16,39,93.016887,29.20126,9.82,65.24,75.16,95.47,78.12,Star,STAR,G5,-2.2E-4,5.4E-5,ugrijhk,99.0,99.0,99.0,99.0,9.06,8.6,8.45,PILOT,Obj,-,XY0618+2712_V2,0,0.0,93.016887,29.20126,0.0,spec-55959-GAC_094N27_V2_sp16-039.fits,false,false,true,0.8700500521595544,0.09486764442305402,0.4867016870384758,0.41894071025062163,0.7781167574727833,0.05405522220199394,0.18762431426725157,4.172879549696476
spec-55966-GAC_061N50_V3_sp12-039.fits,5049.59359424,2.98938476951,0.122519180174,0.0106425119567,25.6618473122,0.0589026238518,0.0285782798043,0.00993324070222,0.24187174189518174,63.460592,52.006422,30.22,50026,spec-55966-GAC_061N50_V3_sp12-039.fits,5049.59359424,2.98938476951,0.122519180174,0.0106425119567,25.6618473122,0.0589026238518,0.0285782798043,0.00993324070222,0.24187174189518174,63.460592,52.006422,30.22,50026,0.0,38412039,J041350.54+520023.1,2012-02-08,55966,55965,GAC_061N50_V3,12,39,63.460592,52.006422,2.75,30.22,66.94,104.12,96.1,Star,STAR,G5,-1.13E-4,4.1E-5,ugrijhk,99.0,0.0,11.81,0.0,9.7,9.14,8.95,PILOT,Obj,-,XY0406+5021_V3,0,0.0,63.460592,52.006422,0.0,spec-55966-GAC_061N50_V3_sp12-039.fits,false,false,true,0.8508973254782252,0.16510966134961325,-0.10000245618362996,0.0,0.7915975830231817,0.12492287713081529,0.7764142987874297,1.1314565084566017
spec-55968-B5596810_sp14-168.fits,4912.68539874,3.03666766093,-0.344658784934,0.0497697639005,9.81525199008,0.0196197141347,0.0115242925677,0.00508211291255,1.9838278182501419,214.25977,3.08611,159.19,52840,spec-55968-B5596810_sp14-168.fits,4912.68539874,3.03666766093,-0.344658784934,0.0497697639005,9.81525199008,0.0196197141347,0.0115242925677,0.00508211291255,1.9838278182501419,214.25977,3.08611,159.19,52840,0.0,39814168,J141702.34+030509.9,2012-02-10,55968,55967,B5596810,14,168,214.25977,3.08611,29.74,159.19,162.32,150.51,130.2,QSO,STAR,G7,-1.0E-5,5.9E-5,ugriz,12.77,15.41,13.94,14.78,13.26,10.0,10.0,PILOT,Obj,-,No,0,0.0,214.25977,3.08611,0.0,spec-55968-B5596810_sp14-168.fits,false,true,false,1.0230552323685886,0.009084312780859822,0.7535307859820896,0.06785114610190028,1.0226191464145826,0.007857071137497009,0.8817459561907712,0.04237714373537124
spec-55978-B5597802_sp12-015.fits,4839.53737442,2.71762719147,-0.569312180273,0.164780905271,23.6100226056,0.0526480295876,0.0284387621073,0.016512424173,0.5798692954575707,156.124585,32.410345,45.57,60347,spec-55978-B5597802_sp12-015.fits,4839.53737442,2.71762719147,-0.569312180273,0.164780905271,23.6100226056,0.0526480295876,0.0284387621073,0.016512424173,0.5798692954575707,156.124585,32.410345,45.57,60347,0.0,43512015,J102429.90+322437.2,2012-02-20,55978,55977,B5597802,12,15,156.124585,32.410345,4.22,45.57,125.04,184.22,164.98,Star,STAR,G5,-7.3E-5,4.9E-5,ugrizjh,99.0,99.0,11.28,99.0,99.0,10.13,9.7,PILOT,Obj,-,<off_11.28>,1,5.11,156.124293,32.408947,0.0,spec-55978-B5597802_sp12-015.fits,false,false,true,1.0604107600398687,0.026796209836153707,0.9372194412693375,0.19370622507765795,0.8803591264271007,0.09113898101221618,0.3912308639715865,2.585374986011288
spec-55981-GAC_100N17_V4_sp07-120.fits,4942.69168516,2.88541289329,-0.298831055327,0.0334714463081,32.8360722692,0.0735033308041,0.03800085394,0.0142453350835,0.442052137824256,101.558686,16.3657828,30.08,60736,spec-55981-GAC_100N17_V4_sp07-120.fits,4942.69168516,2.88541289329,-0.298831055327,0.0334714463081,32.8360722692,0.0735033308041,0.03800085394,0.0142453350835,0.442052137824256,101.558686,16.3657828,30.08,60736,0.0,28107120,J064614.08+162156.8,2012-01-11,55938,55937,GAC_100N17_V1,7,120,101.558686,16.3657828,1.78,6.16,9.32,5.07,4.86,Star,STAR,G5,1.76E-4,4.8E-5,ugrizjh,99.0,14.24,13.38,0.0,99.0,99.0,99.0,PILOT,Obj,-,XY0642+1738_V1,0,0.0,101.558686,16.3657828,0.0,spec-55981-GAC_100N17_V4_sp07-120.fits,false,false,true,1.0089497794123394,0.03682069755794732,0.856792461049439,0.24483588644037624,0.9256522621095046,0.16185496763541213,0.8753518343967356,0.17084463199037894
spec-55998-GAC_102N27_V1_sp03-026.fits,4954.92860586,3.37526200614,-0.149937251413,0.0686034604539,16.1464361662,0.0289222328653,0.0178272328307,0.00802734481742,0.46014087219430483,101.21297,26.544216,84.42,65969,spec-55998-GAC_102N27_V1_sp03-026.fits,4954.92860586,3.37526200614,-0.149937251413,0.0686034604539,16.1464361662,0.0289222328653,0.0178272328307,0.00802734481742,0.46014087219430483,101.21297,26.544216,84.42,65969,0.0,46103026,J064451.11+263239.1,2012-03-11,55998,55997,GAC_102N27_V1,3,26,101.21297,26.544216,11.67,84.42,107.08,148.61,124.22,Star,STAR,G5,1.82E-4,4.6E-5,ugrijhk,99.0,0.0,10.99,0.0,9.71,9.3,9.17,PILOT,Obj,-,XY0649+2711_V1,0,0.0,101.21297,26.544216,0.0,spec-55998-GAC_102N27_V1_sp03-026.fits,false,false,true,0.8486869215312802,0.0625090678976196,0.4494746412291161,0.2792682743338724,0.8058775281038438,0.03856782554216181,0.5349587760489701,0.2568534466062903
spec-55998-GAC_102N27_V2_sp09-070.fits,4956.02384526,2.57989106475,-0.416222018771,0.0408327267932,32.0450465418,0.0798141905926,0.0398954998153,0.0144564862995,0.34871046487614804,103.25492,28.343653,31.95,67047,spec-55998-GAC_102N27_V2_sp09-070.fits,4956.02384526,2.57989106475,-0.416222018771,0.0408327267932,32.0450465418,0.0798141905926,0.0398954998153,0.0144564862995,0.34871046487614804,103.25492,28.343653,31.95,67047,0.0,46209070,J065301.18+282037.1,2012-03-11,55998,55997,GAC_102N27_V2,9,70,103.25492,28.343653,4.01,31.95,61.32,71.67,54.66,Star,STAR,G5,1.61E-4,4.9E-5,ugrijhk,99.0,13.53,12.92,0.0,11.59,11.13,11.03,PILOT,Obj,-,XY0649+2711_V2,0,0.0,103.25492,28.343653,0.0,spec-55998-GAC_102N27_V2_sp09-070.fits,false,false,true,1.0172156276667461,0.03968372260438159,0.8661706693357261,0.3010683522830036,0.9113555903429911,0.12027499646162841,0.732708394632048,0.8873028312456351
spec-56021-VB3_136N49_V1_sp14-082.fits,4962.74056246,3.17199897222,-0.22299269316,0.100637660922,36.1810769236,0.0735845349223,0.0405155918382,0.0211068665278,0.309241237186722,134.42954,50.682899,30.99,71661,spec-56021-VB3_136N49_V1_sp14-082.fits,4962.74056246,3.17199897222,-0.22299269316,0.100637660922,36.1810769236,0.0735845349223,0.0405155918382,0.0211068665278,0.309241237186722,134.42954,50.682899,30.99,71661,0.0,49014082,J085743.08+504058.4,2012-04-03,56021,56020,VB3_136N49_V1,14,82,134.42954,50.682899,4.34,30.99,44.28,50.05,46.22,Star,STAR,K1,-2.84E-4,5.0E-5,brijhk,13.26,12.07,12.44,11.22,11.01,10.57,10.49,PILOT,Obj,-,VB0906+4936_V1,0,0.0,134.42954,50.682899,0.0,spec-56021-VB3_136N49_V1_sp14-082.fits,false,true,false,0.9371125915960421,0.16731247545519823,0.6797237158665895,0.8488818349893654,1.0106984319241372,0.027486921943226127,0.8614690495646494,0.1204380704688053
