id,cannon_teff,cannon_logg,cannon_m_h,cannon_alpha_m,cannon_teff_err,cannon_logg_err,cannon_m_h_err,cannon_alpha_m_err,cannon_red_chisq,ra,dec,snrg,codeindex,Ba_only_candidate,Sr_only_candidate,Ba_Sr_candidate,BA_FE_4554,BA_FE_4554_err,BA_FE_4554_kernel,BA_FE_4554_kernel_err,BA_FE_4934,BA_FE_4934_err,BA_FE_4934_kernel,BA_FE_4934_kernel_err,SR_FE_4077,SR_FE_4077_err,SR_FE_4077_kernel,SR_FE_4077_kernel_err,SR_FE_4215,SR_FE_4215_err,SR_FE_4215_kernel,SR_FE_4215_kernel_err,source_id,designation,ra_cone,dec_cone,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,a_g_percentile_lower,a_g_percentile_upper,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,bp_g,bp_rp,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,e_bp_min_rp_val,flame_flags,frame_rotator_object_type,g_rp,lum_percentile_lower,lum_percentile_upper,lum_val,matched_observations,mean_varpi_factor_al,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_obs,phot_variable_flag,pmra_pmdec_corr,priam_flags,ra_dec_corr,radial_velocity,radial_velocity_error,radius_percentile_lower,radius_percentile_upper,radius_val,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ref_epoch,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,solution_id,teff_percentile_lower,teff_percentile_upper,teff_val,visibility_periods_used,Separation,parallax/error
spec-56582-VB012N41V1_sp16-081.fits,4325.28841436,1.7956549619,-0.0372077024,0.0525893379,8.3863345635,0.0240422816,0.0130075606,0.0068799677,0.7464027266,10.362626,42.401028,75.6699981689,271223,false,true,false,-0.0570482977,0,45.1398361702,27.0479933553,-0.012421138,0,-14.1236371397,26.0370888667,0.7987308068,0.0531770391,-16.5887055113,27.1082152581,0.7648373829,0.0609101273,8.9497257863,33.292244657,3.87385541631979E+017,Gaia DR2 387385541631979264,10.3626040886,42.4010210128,120.9645609202,-20.4325741627,28.2370012544,34.4603674017,0.3200042851,-3.0382159836,-4.0311755134,11.951582,12.683777,11.144819,0.0470131394,0.0472733926,0.0639008748,0.0911650492,0.1079251524,0.126,0.5617,0.3413,188.75961,0,0,2.6121,17,2,146,148,148,31,,1.4743682733,0.0103157855,0.075032815,329.75143,0.7321949,1.5389576,-0.41674984,-0.72861356,-0.4150587,,0.0577,0.2553,0.1822,200111,0,0.8067627,118.43744,201.27374,159.85559,17,0.007260666,5.007823,0.5691893,0.29039454,116692.966719845,97.0653895582,1202.2098,16,1.2691613,312401.704826289,98.1025600794,3184.44,145,0,279795.205698802,321.1120536841,871.332,16,NOT_AVAILABLE,0.46945235,100001,0.11210728,-118.5714073753,0.6231545463,20.431156,22.800097,21.550755,422239849,0.3555927,-0.050159264,-0.40431783,2015.5,9,0,3,5000,1.6357214584098E+018,4298.233,4540.585,4421.0664,11,1.76245465224814E-05,5.0078232278
spec-56699-GAC085N52V3_sp16-172.fits,3916.70818261,0.8833827326,-0.2895401322,0.0525732348,11.399179291,0.0324798738,0.020374904,0.0088089992,0.8751652514,83.580198,54.010361,30.0699996948,414371,false,true,false,0.328974691,3.0497853456,30.6811525327,63.1152237569,-0.0948146984,0,6.938413352,48.4002557003,0.9653318593,0.2440049404,-45.6256634144,69.6615925118,0.9566364106,0.2324212095,8.9497253602,61.9992427165,2.64903343616094E+017,Gaia DR2 264903343616094464,83.5801462151,54.0103446792,157.3819286966,11.3188481833,85.618889701,30.6686543701,0.1782089402,0.5421509573,-1.1696956238,12.118906,13.208575,11.099618,0.0328056025,0.0351704938,0.0355300129,0.0589904774,0.0619733546,,,,509.23392,0,0,10.672612,24,1,213,214,214,31,,1.3546106821,0.0074356277,0.048368026,332.01163,1.0896692,2.1089573,-0.3368761,-0.7674977,-0.09474197,,,,,,0,1.0192881,,,,27,-0.05702111,5.01573,0.2898371,0.2862223,71965.6554173899,152.1984580854,472.8409,24,1.3580195,267783.545178592,67.8643766088,3945.8633,230,0,291689.598712281,253.3758792763,1151.213,25,NOT_AVAILABLE,0.13430662,100001,-0.060761634,-81.280943221,0.5455891912,,,,1021453980,-0.044087086,0.0064097447,-0.65979797,2015.5,5,0,3,4500,1.6357214584098E+018,3890.935,4119.705,4010.7566,12,3.45311916858948E-05,5.0157296791
spec-56699-GAC085N52V3_sp16-236.fits,4143.90910586,1.4767041934,-0.2982266709,0.0506107849,12.9859207662,0.0355383806,0.0213664252,0.00917529,0.7340521963,83.327236,54.735813,33.55,414381,false,false,true,0.9026189058,0.1428822882,-14.197891948,32.3310357656,-0.0527151377,0,9.3424684695,44.7603499573,0.9694536645,0.1905775004,-62.0450400096,54.7860545516,-0.0540019837,0,-53.4706451516,157.3362336469,2.6797613501751E+017,Gaia DR2 267976135017509888,83.3272616157,54.7358083543,156.6704189107,11.5671936776,85.4920290208,31.4008969191,0.2055051303,-0.0430709626,0.1516014986,12.051088,13.056429,11.0707855,0.0439354314,0.0468807864,0.0409110142,0.0735247169,0.0778377582,,,,424.5496,0,0,9.992249,20,2,173,175,175,31,,1.3772852063,0.0079505916,0.05845784,339.63068,1.0053406,1.9856434,-0.19836588,-0.83206826,0.051201485,,,,,200111,0,0.9803028,283.63187,514.32263,398.97726,21,-0.03300341,5.0232224,0.15302056,0.28737137,82791.1405740584,229.8159380386,360.2498,20,1.341306,285043.322320048,108.4284500743,2628.861,182,1,299539.178589503,400.0002358689,748.84753,19,NOT_AVAILABLE,0.050890557,100002,-0.2198529,-23.3989584688,0.420856045,36.313934,41.270817,38.09821,491268042,0.01419526,0.15456674,-0.73507905,2015.5,9,0,3,4500,1.6357214584098E+018,4015.5203,4280.8174,4179.3726,11,1.55016803051879E-05,5.02322258
spec-56641-VB032N44V1_sp14-145.fits,4787.34831749,2.4279937266,-0.490452594,0.2343554665,24.2462082965,0.0592983558,0.0310099388,0.0151739663,0.2432994661,29.597288,45.443344,37.4399986267,345767,false,true,false,-0.1094145539,0,-14.197886864,83.1594616407,-0.2178171595,0,9.3424691068,66.8342705449,0.7584785057,0.0883544559,-29.4354690577,51.2741803412,0.7609886296,0.1192944992,-53.4706504497,0.000000034,3.55808250580474E+017,Gaia DR2 355808250580473856,29.5972881551,45.4433312227,135.0567228444,-15.8463581498,44.5887963366,31.0587899544,0.2880501792,-0.6237605895,0.2673232132,12.706056,13.276128,12.011401,0.0532839045,0.0367200394,0.0567729086,0.0851014329,0.0837038538,,,,126.66578,0,0,1.2485449,13,1,113,105,114,31,,1.51638264,0.0144869944,0.060178246,228.93349,0.5700722,1.2647266,-0.44109046,-0.060213637,-0.004606881,,,,,200111,0,0.69465446,60.181656,104.66678,82.42422,15,-0.07149952,5.073726,0.055389408,0.03795959,67624.5309483946,77.0399333469,877.7854,14,1.2414532,155927.940859252,36.1866622646,4308.9893,125,0,125952.70377919,124.85080111,1008.82574,13,NOT_AVAILABLE,0.343165,100001,-0.19396986,-100.9768227221,1.7882906951,11.75331,12.870005,12.226733,577099864,0.5481871,-0.05843926,-0.41186404,2015.5,5,0,3,4500,1.6357214584098E+018,4847.8667,5072.9424,4973.76,8,1.27777143683891E-05,5.0737259426
spec-56722-GAC094N35B1_sp03-085.fits,5086.9009548,2.8493808688,-0.5032456193,0.1293883456,35.9864465558,0.0784878262,0.0433725949,0.0174772412,0.6555885171,92.874345,35.05452,32.4799995422,420898,true,false,false,1.0084313054,0.0428415241,45.139832377,32.7425121974,1.0650147546,0.0475980057,-1.6473549665,24.2523460884,-0.16790134,0,-62.0449838197,106.8936354098,-0.1014228386,0,2.1439231276,97.5586516493,3.45253767453161E+018,Gaia DR2 3452537674531610112,92.8743484486,35.0544986048,177.3928268156,7.7916731818,92.4020665127,11.6391817529,0.3003642616,0.1355318068,-3.8687761701,15.639581,16.29134,14.866338,0.059713007,0.0572092638,0.0588145358,0.1096711682,0.0892584769,,,,96.5323,0,0,-0.83367866,13,0,114,0,114,31,,1.4804159423,0.0120496584,0.12608925,11.919679,0.65175915,1.4250021,-0.3128312,-0.5309906,0.4747282,,,,,,0,0.77324295,,,,13,-0.17030516,5.106973,0.12066773,0.22603959,4207.4555865463,18.8689701429,222.98279,12,1.2706565,10459.5780798953,8.3296804316,1255.6998,114,0,9083.0754036336,21.867210211,415.3742,13,NOT_AVAILABLE,-0.37146696,100001,-0.48547474,,,,,,1061027611,-0.014797091,0.57118267,-0.4465298,2015.5,0,,,,1.6357214584098E+018,4511.25,5105.51,4860,10,2.15806289728918E-05,5.1069732595
spec-56642-VB005N38V1_sp12-232.fits,4188.08640386,1.6270341183,-0.2976169125,0.0907202068,9.1025542584,0.0245689399,0.0146528453,0.0077273242,0.5627364,6.968605,40.346706,61.3400001526,348255,false,true,false,-0.1202147545,0,45.1398358426,34.1754753084,-0.0279581385,0,-18.8585986667,30.1895621926,0.8486544743,0.0794914502,-2.0841226986,32.9862590091,0.8249299923,0.0893154674,-34.9920172849,35.1032674541,3.81681545888433E+017,Gaia DR2 381681545888433152,6.968591399,40.346717064,118.0819557689,-22.3030286728,24.3493436725,33.8628710713,0.2747898678,-2.6951967923,-1.044955065,12.236782,12.992481,11.407566,0.0376605919,0.0411678622,0.0537632258,0.0887318894,0.0979094176,0.1204,0.7714,0.3503,148.21155,0,0,0.2850703,17,0,149,149,149,31,,1.4669143704,0.0105298678,0.067280516,337.04578,0.75569916,1.5849152,-0.29870868,-0.69688994,-0.23488447,,0.0589,0.511,0.1617,200111,0,0.829216,125.67476,215.84135,170.75806,17,-0.06382299,5.111112,0.5451962,0.20996964,87813.7795988282,139.3774561088,630.0429,15,1.2798758,240233.490604572,58.73279723,4090.2783,149,1,219655.242691282,208.5896251218,1053.0497,14,NOT_AVAILABLE,0.27560088,100002,0.049424455,-21.5756918193,0.8978646506,19.569416,24.508738,22.820879,1420318353,-0.024168316,-0.1139552,-0.38640448,2015.5,5,0,3,5000,1.6357214584098E+018,4214.6465,4716.6396,4367.7266,8,1.51612830002724E-05,5.1111119861
spec-56646-GAC104N42V2_sp08-182.fits,4324.33291409,1.6278992503,-0.5278351652,0.0846188356,10.9092447989,0.0312865879,0.0178829344,0.0091395194,0.667940993,105.31131,41.223358,62.8400001526,350552,false,true,false,-0.0777171448,0,41.8791283569,36.5108789003,-0.1402520867,0,-6.0585736903,31.1409989777,0.8164915838,0.0926206751,-51.6644347587,40.6698241901,0.8406355399,0.1020882635,-40.0264555369,35.0185384099,9.50933904256282E+017,Gaia DR2 950933904256281728,105.3112863642,41.2233634224,175.6623451912,19.2158523963,102.083954389,18.424231094,0.1877088201,-1.5586973715,-1.5533535895,12.374005,13.126468,11.548211,0.0333368591,0.0303903543,0.0365340196,0.0631209718,0.0551338021,0.3009,1.1611,0.55,174.99757,0,0,2.035518,17,5,144,140,149,31,,1.4421460831,0.0087187259,0.044725146,300.34332,0.7524624,1.5782566,-0.32771438,-0.46623063,-0.015468427,,0.1499,0.5257,0.2515,200111,0,0.8257942,228.05844,421.71878,324.8886,17,0.049254548,5.1379185,0.25877848,0.3465408,77619.0270114259,140.1690108812,553.7531,15,1.2780905,211711.310909501,91.5092917666,2313.5498,146,0,192967.19415883,214.9946122655,897.5443,14,NOT_AVAILABLE,0.019678844,100001,-0.07128099,59.9025361382,0.5977210515,29.380718,33.127144,31.707506,556792046,0.025212785,0.117555715,-0.42458263,2015.5,6,0,3,5000,1.6357214584098E+018,4257.6304,4520.94,4351.9,11,1.85861418349715E-05,5.1379186346
spec-56571-HD231426N434153V01_sp05-055.fits,3815.88500224,0.1327416259,-0.5055260131,0.1507257452,7.046757628,0.0201748057,0.0144705988,0.0072491718,1.3500574554,348.131844,43.071281,46.6699981689,258395,false,true,false,-0.0365355236,0,-14.1978802006,45.5247170095,-0.064657205,0,-55.8065262346,34.0938796255,0.9779565455,0.2328429905,-10.0226897412,58.8177410246,0.9823851536,0.211756415,-53.4706494186,49.3675716563,1.93090992210004E+018,Gaia DR2 1930909922100043648,348.1318282332,43.0712646128,104.376445563,-16.2084160437,10.6014163484,43.3391748615,0.126733424,-2.7830604668,-3.6946363429,12.007824,12.981277,11.047856,0.0185144299,0.0169796454,0.0244322967,0.0353993747,0.0336860522,,,,544.7583,0,0,8.11064,36,9,305,314,314,31,,1.3926449637,0.0044879009,0.028350137,357.58075,0.9734535,1.9334211,0.06595118,-0.21154867,-0.05057703,,,,,,0,0.9599676,,,,44,0.022318935,5.187127,0.009917581,-0.14587136,88724.614135773,178.1877860217,497.92758,44,1.3304645,296631.055544764,125.38971953,2365.6729,381,0,305932.455435216,351.5943598492,870.129,43,NOT_AVAILABLE,-0.08801309,100001,0.025121095,-69.5658395415,0.362523067,,,,1338327105,0.24117671,-0.019888809,-0.41902116,2015.5,18,0,3,4000,1.6357214584098E+018,3961.84,4347.69,4219.185,15,2.00299238407278E-05,5.1871269229
spec-56688-GAC106N20V1_sp07-232.fits,4498.55946375,1.9897684202,-0.2519682818,0.0214163047,12.5762255862,0.0360007876,0.0187267428,0.0082951073,0.4016829505,107.08732,18.369913,52.3300018311,407687,false,true,false,-0.0725314315,0,35.5462175932,43.2272470444,-0.0329116389,0,-6.0585064454,38.6394518013,0.7802553247,0.0877957243,-48.7006401564,46.6126964492,0.833143668,0.0927507829,-34.2463339628,34.2109522813,3.36161747318731E+018,Gaia DR2 3361617473187308288,107.0873244839,18.3698943087,198.2161866791,11.8864310374,106.2348783916,-4.111530153,0.2608600267,-0.7281013603,-1.1041517388,12.168138,12.85379,11.387353,0.0453650401,0.0424519171,0.0497056022,0.0870185804,0.0708120065,0.1679,1.6891,0.5603,123.45136,0,0,0.457798,14,0,122,122,122,31,,1.5082680195,0.0144190931,0.05508447,334.30203,0.68565273,1.4664373,-0.37872753,-0.50019944,0.13167177,,0.1446,0.9841,0.296,200111,0,0.7807846,142.00148,242.95195,192.47672,14,-0.015650876,5.248101,0.040554427,0.2737026,99778.9585199693,208.0564640954,479.57635,13,1.264346,255912.374510438,68.90793435,3713.8303,122,0,223782.821049693,235.7659066511,949.1738,13,NOT_AVAILABLE,0.0034914513,100001,-0.22425623,42.303117468,0.8362033047,20.782326,24.500452,23.064352,1563018808,0.06016739,0.28776374,-0.3769211,2015.5,4,0,3,4500,1.6357214584098E+018,4343.44,4716,4476.62,11,1.9169556659203E-05,5.2481011225
spec-56647-GAC085N22V1_sp01-028.fits,4195.13389519,1.4377459709,-0.1497546981,0.0521952463,9.2487565741,0.0258469198,0.0151184563,0.0065297647,0.5683567589,84.826232,20.722137,50.4199981689,353689,false,true,false,-0.1216823136,0,41.7008663694,40.6529231613,-0.0728650239,0,-36.5316900848,33.9178463792,0.8137153771,0.0985012056,26.9145440933,46.3629690522,0.8509331046,0.1073739177,-4.3155624016,39.4113987763,3.40269426552712E+018,Gaia DR2 3402694265527119360,84.8262431361,20.7220954368,186.2507905151,-5.528771405,85.1566709959,-2.630243537,0.2914202908,0.6979488697,-2.4909783323,11.5568905,12.588098,10.574668,0.0649715278,0.0519505359,0.0551757047,0.1211804839,0.0889189632,0.096,1.175,0.372,249.03622,0,0,7.0675874,13,1,114,115,115,31,,1.3577974149,0.0138130716,0.086949,495.6501,1.0312071,2.0134296,-0.16225313,-0.71544915,0.40814048,,0.048,0.663,0.2722,200111,0,0.98222256,277.7909,466.85712,372.324,13,-0.13393374,5.2816777,0.029898446,0.38744053,127443.116975115,381.3857609986,334.15805,13,1.3363281,449355.377331659,219.585709997,2046.378,110,0,473043.105698758,887.6841610728,532.89575,12,NOT_AVAILABLE,-0.45355138,100001,-0.5293144,-40.8828914721,0.5153882594,38.61122,44.74863,42.25186,431037183,-0.021668453,0.5171615,-0.6751201,2015.5,4,0,3,4500,1.6357214584098E+018,3790.24,4080.3726,3900.62,10,4.28484032056249E-05,5.2816777309
