id_1,cannon_teff_1,cannon_logg_1,cannon_m_h_1,cannon_alpha_m_1,cannon_teff_err_1,cannon_logg_err_1,cannon_m_h_err_1,cannon_alpha_m_err_1,cannon_red_chisq_1,ra_1,dec_1,snrg_1,codeindex_1,id_2,cannon_teff_2,cannon_logg_2,cannon_m_h_2,cannon_alpha_m_2,cannon_teff_err_2,cannon_logg_err_2,cannon_m_h_err_2,cannon_alpha_m_err_2,cannon_red_chisq_2,ra_2,dec_2,snrg_2,codeindex_2,Separation
spec-55880-B8004_3_sp02-022.fits,4095.95929549,1.31318775928,-0.383076229168,0.0725515867345,8.67493904589,0.0230739054537,0.0146557024773,0.00673058751308,1.2982617110597359,40.0325,52.38691,53.18000030517578,7665,spec-55880-B8004_3_sp02-022.fits,4095.95929549,1.31318775928,-0.383076229168,0.0725515867345,8.67493904589,0.0230739054537,0.0146557024773,0.00673058751308,1.2982617110597359,40.0325,52.38691,53.18000030517578,7665,0.0
spec-55911-B91104_sp13-162.fits,4815.48910264,2.9679479658,0.0657028876093,0.0469959369147,13.4956249029,0.0311401919172,0.0158868335988,0.00788925427578,0.8832639103359244,140.7960188,28.283878,63.20000076293945,14309,spec-55911-B91104_sp13-162.fits,4815.48910264,2.9679479658,0.0657028876093,0.0469959369147,13.4956249029,0.0311401919172,0.0158868335988,0.00788925427578,0.8832639103359244,140.7960188,28.283878,63.20000076293945,14309,0.0
spec-55911-B91105_sp14-095.fits,4959.98616766,3.45600835411,0.110223224686,0.0574992505788,11.5344850471,0.0226118938125,0.0126084109492,0.00618958135099,1.435925036968592,158.5798178,28.504551,103.55999755859375,14389,spec-55911-B91105_sp14-095.fits,4959.98616766,3.45600835411,0.110223224686,0.0574992505788,11.5344850471,0.0226118938125,0.0126084109492,0.00618958135099,1.435925036968592,158.5798178,28.504551,103.55999755859375,14389,0.0
spec-55930-B5593002_sp09-033.fits,5028.52530077,2.87796617065,0.0956128395383,0.0299789537272,16.1630331499,0.0387083723636,0.0183990383429,0.00690229138467,0.5953941963854401,43.402649,54.746105,48.0099983215332,20432,spec-55930-B5593002_sp09-033.fits,5028.52530077,2.87796617065,0.0956128395383,0.0299789537272,16.1630331499,0.0387083723636,0.0183990383429,0.00690229138467,0.5953941963854401,43.402649,54.746105,48.0099983215332,20432,0.0
spec-55938-GAC_070N40_V2_sp09-135.fits,4733.10306375,2.42798620003,-0.0191785688107,0.0117484294767,15.0367043397,0.0422700087521,0.0198332099933,0.00854148245394,0.45263670565536723,71.848588,41.222195,35.66999816894531,26004,spec-55938-GAC_070N40_V2_sp09-135.fits,4733.10306375,2.42798620003,-0.0191785688107,0.0117484294767,15.0367043397,0.0422700087521,0.0198332099933,0.00854148245394,0.45263670565536723,71.848588,41.222195,35.66999816894531,26004,0.0
spec-55939-B5593906_sp02-244.fits,4705.96385393,2.35017853151,0.0202856592487,0.0646312231316,14.5013354328,0.0395020739546,0.0191481917076,0.0100735804561,0.6094700007256048,180.962471,29.553312,46.88999938964844,27452,spec-55939-B5593906_sp02-244.fits,4705.96385393,2.35017853151,0.0202856592487,0.0646312231316,14.5013354328,0.0395020739546,0.0191481917076,0.0100735804561,0.6094700007256048,180.962471,29.553312,46.88999938964844,27452,0.0
spec-55939-GAC_061N46_V2_sp06-212.fits,4513.0064811,2.2760090781,0.0515896617377,0.00429127783339,11.3200911206,0.0288584576585,0.0155879963062,0.00615597294884,0.8355031477887882,64.021334,45.871319,51.619998931884766,28159,spec-55939-GAC_061N46_V2_sp06-212.fits,4513.0064811,2.2760090781,0.0515896617377,0.00429127783339,11.3200911206,0.0288584576585,0.0155879963062,0.00615597294884,0.8355031477887882,64.021334,45.871319,51.619998931884766,28159,0.0
spec-55939-GAC_061N46_V3_sp02-067.fits,4690.06091138,2.55027527488,-0.0305131258836,0.0292980026145,14.7539386261,0.0365731654504,0.0189353432397,0.00780536182882,0.380708055994898,60.664246,45.248118,48.189998626708984,28697,spec-55939-GAC_061N46_V3_sp02-067.fits,4690.06091138,2.55027527488,-0.0305131258836,0.0292980026145,14.7539386261,0.0365731654504,0.0189353432397,0.00780536182882,0.380708055994898,60.664246,45.248118,48.189998626708984,28697,0.0
spec-55939-GAC_104N11_V2_sp01-182.fits,4966.52205279,2.79480634678,0.0161600895822,0.0366828760698,11.4887370654,0.0285302133263,0.0133882724765,0.0061833024989,1.2723535753055555,104.90036,9.7024783,82.98999786376953,29784,spec-55939-GAC_104N11_V2_sp01-182.fits,4966.52205279,2.79480634678,0.0161600895822,0.0366828760698,11.4887370654,0.0285302133263,0.0133882724765,0.0061833024989,1.2723535753055555,104.90036,9.7024783,82.98999786376953,29784,0.0
spec-55939-GAC_104N11_V2_sp12-233.fits,4895.43461681,2.92465197516,0.113777954935,-0.00731297248133,22.3649328363,0.0538914487416,0.0256955671428,0.0100904108305,0.3437874576186511,105.21209,14.174868,37.40999984741211,30300,spec-55939-GAC_104N11_V2_sp12-233.fits,4895.43461681,2.92465197516,0.113777954935,-0.00731297248133,22.3649328363,0.0538914487416,0.0256955671428,0.0100904108305,0.3437874576186511,105.21209,14.174868,37.40999984741211,30300,0.0
spec-55940-GAC_103N06_V3_sp14-020.fits,4666.79575561,2.46485714574,-0.295986526347,0.0902992807761,23.4491320917,0.0596148845133,0.0305578663818,0.0154275763948,0.5618798496450043,101.66321,7.668842,32.790000915527344,36028,spec-55940-GAC_103N06_V3_sp14-020.fits,4666.79575561,2.46485714574,-0.295986526347,0.0902992807761,23.4491320917,0.0596148845133,0.0305578663818,0.0154275763948,0.5618798496450043,101.66321,7.668842,32.790000915527344,36028,0.0
spec-55954-GAC_089N11_V1_sp01-145.fits,4847.38197915,3.12722899771,0.224455581193,0.0503098707439,19.9883542602,0.0423775406577,0.0227592529818,0.00934947597705,0.21728981775414907,89.334544,9.8842034,41.220001220703125,39818,spec-55954-GAC_089N11_V1_sp01-145.fits,4847.38197915,3.12722899771,0.224455581193,0.0503098707439,19.9883542602,0.0423775406577,0.0227592529818,0.00934947597705,0.21728981775414907,89.334544,9.8842034,41.220001220703125,39818,0.0
spec-55954-GAC_089N11_V1_sp02-179.fits,4983.08775669,2.73944211787,-0.314776401304,0.0700230388052,26.0439165374,0.0619505476794,0.0310185630182,0.012563673524,0.3498437149943883,87.464124,10.227458,34.939998626708984,39902,spec-55954-GAC_089N11_V1_sp02-179.fits,4983.08775669,2.73944211787,-0.314776401304,0.0700230388052,26.0439165374,0.0619505476794,0.0310185630182,0.012563673524,0.3498437149943883,87.464124,10.227458,34.939998626708984,39902,0.0
spec-55960-B5596003_sp12-229.fits,4789.53652153,2.88226783791,-0.0980958656884,0.09384299296,20.0823888527,0.045624060353,0.0235250754233,0.0125787336669,0.36477685217257744,156.71123,33.046848,44.560001373291016,45211,spec-55960-B5596003_sp12-229.fits,4789.53652153,2.88226783791,-0.0980958656884,0.09384299296,20.0823888527,0.045624060353,0.0235250754233,0.0125787336669,0.36477685217257744,156.71123,33.046848,44.560001373291016,45211,0.0
spec-55960-GAC_101N09_V1_sp09-151.fits,4843.51727477,3.08281926856,-0.0128666138654,0.0503891047684,30.8364945538,0.0631912625079,0.0354052041928,0.014455828078,0.15801226991588785,101.86055,10.595233,30.729999542236328,45991,spec-55960-GAC_101N09_V1_sp09-151.fits,4843.51727477,3.08281926856,-0.0128666138654,0.0503891047684,30.8364945538,0.0631912625079,0.0354052041928,0.014455828078,0.15801226991588785,101.86055,10.595233,30.729999542236328,45991,0.0
spec-55960-GAC_101N09_V1_sp12-137.fits,4720.21154701,2.40545982822,0.0145896896132,-0.0406490409948,15.0326723639,0.0415246631012,0.0197078822861,0.00720152055449,0.47100206129234273,102.04987,11.304951,43.040000915527344,46099,spec-55960-GAC_101N09_V1_sp12-137.fits,4720.21154701,2.40545982822,0.0145896896132,-0.0406490409948,15.0326723639,0.0415246631012,0.0197078822861,0.00720152055449,0.47100206129234273,102.04987,11.304951,43.040000915527344,46099,0.0
spec-55961-GAC_064N42_V1_sp03-125.fits,4136.2032276,1.2377957996,-0.240133620676,0.0351199331562,10.583574773,0.0302908947141,0.0180827500486,0.00721389626683,0.8083388339532847,63.0668,42.552776,37.650001525878906,47139,spec-55961-GAC_064N42_V1_sp03-125.fits,4136.2032276,1.2377957996,-0.240133620676,0.0351199331562,10.583574773,0.0302908947141,0.0180827500486,0.00721389626683,0.8083388339532847,63.0668,42.552776,37.650001525878906,47139,0.0
spec-55961-GAC_064N42_V2_sp14-008.fits,4796.50127027,2.70325410514,-0.381183350452,0.081393292539,27.1383126924,0.059030975846,0.0333457332572,0.0140525234959,0.21453370262175875,61.789164,43.092491,40.560001373291016,47903,spec-55961-GAC_064N42_V2_sp14-008.fits,4796.50127027,2.70325410514,-0.381183350452,0.081393292539,27.1383126924,0.059030975846,0.0333457332572,0.0140525234959,0.21453370262175875,61.789164,43.092491,40.560001373291016,47903,0.0
spec-55961-GAC_064N42_V3_sp06-108.fits,4779.56870635,2.73091691086,-0.275728498802,0.049690539074,30.0329025496,0.0640647585219,0.0374287525988,0.01319562682,0.15875947039316965,67.249912,40.966286,37.61000061035156,48181,spec-55961-GAC_064N42_V3_sp06-108.fits,4779.56870635,2.73091691086,-0.275728498802,0.049690539074,30.0329025496,0.0640647585219,0.0374287525988,0.01319562682,0.15875947039316965,67.249912,40.966286,37.61000061035156,48181,0.0
spec-55961-GAC_100N13_V2_sp03-003.fits,4771.27635693,2.54660177559,0.282003000472,0.0575949960788,14.5563515563,0.0384554453399,0.0178873277298,0.00848856780455,0.35210380382571427,100.19559,12.763828,43.43000030517578,48983,spec-55961-GAC_100N13_V2_sp03-003.fits,4771.27635693,2.54660177559,0.282003000472,0.0575949960788,14.5563515563,0.0384554453399,0.0178873277298,0.00848856780455,0.35210380382571427,100.19559,12.763828,43.43000030517578,48983,0.0
